UTX,Industrials
ORLY,Consumer Discretionary
DLR,Real Estate
CSX,Industrials
JNJ,Health Care
TMK,Financials
EW,Health Care
EQIX,Real Estate
ES,Utilities
STT,Financials
LUV,Industrials
MUR,Energy
WYN,Consumer Discretionary
LUK,Financials
ADSK,Information Technology
LNT,Utilities
ECL,Materials
SEE,Materials
HPE,Information Technology
PVH,Consumer Discretionary
DGX,Health Care
NUE,Materials
EXPE,Consumer Discretionary
EXPD,Industrials
UNP,Industrials
BHI,Energy
ETFC,Financials
DUK,Utilities
XL,Financials
R,Industrials
CLX,Consumer Staples
CMA,Financials
BBY,Consumer Discretionary
FRT,Real Estate
UNH,Health Care
BBT,Financials
TRIP,Consumer Discretionary
OMC,Consumer Discretionary
KO,Consumer Staples
VMC,Materials
ARNC,Industrials
KR,Consumer Staples
XLNX,Information Technology
LNC,Financials
KEY,Financials
ITW,Industrials
KLAC,Information Technology
SWK,Consumer Discretionary
RSG,Industrials
WYNN,Consumer Discretionary
SWN,Energy
DG,Consumer Discretionary
DD,Materials
DE,Industrials
AAP,Consumer Discretionary
WBA,Consumer Staples
TGT,Consumer Discretionary
HBAN,Financials
BIIB,Health Care
TSS,Information Technology
ATVI,Information Technology
AKAM,Information Technology
INTC,Information Technology
HOLX,Health Care
M,Consumer Discretionary
MLM,Materials
INTU,Information Technology
ALXN,Health Care
SLG,Real Estate
DHR,Industrials
SLB,Energy
AJG,Financials
MCO,Financials
MCK,Health Care
UA_C,Consumer Discretionary
MCD,Consumer Discretionary
NRG,Utilities
PBCT,Financials
VTR,Real Estate
AXP,Financials
NFLX,Information Technology
EXC,Utilities
WM,Industrials
SRCL,Industrials
WU,Information Technology
EXR,Real Estate
WY,Real Estate
VNO,Real Estate
UNM,Financials
SPLS,Consumer Discretionary
AWK,Utilities
HST,Real Estate
RIG,Energy
HSY,Consumer Staples
DLPH,Consumer Discretionary
FBHS,Industrials
WEC,Utilities
GPN,Information Technology
HAL,Energy
FITB,Financials
EQR,Real Estate
EQT,Energy
GPC,Consumer Discretionary
HAR,Consumer Discretionary
HAS,Consumer Discretionary
CTXS,Information Technology
LVLT,Telecommunications Services
GPS,Consumer Discretionary
SYF,Financials
PHM,Consumer Discretionary
SYK,Health Care
XEC,Energy
KIM,Real Estate
SYY,Consumer Staples
AEP,Utilities
AES,Utilities
AET,Health Care
EMN,Materials
HCP,Real Estate
ESRX,Health Care
AMAT,Information Technology
AEE,Utilities
CTAS,Industrials
EMR,Industrials
FDX,Industrials
BF_B,Consumer Staples
QRVO,Information Technology
CRM,Information Technology
NWSA,Consumer Discretionary
PX,Materials
PG,Consumer Staples
PH,Industrials
PM,Consumer Staples
EFX,Financials
C,Financials
MHK,Consumer Discretionary
FOX,Consumer Discretionary
COTY,Consumer Staples
QCOM,Information Technology
XRX,Information Technology
ULTA,Consumer Discretionary
MOS,Materials
PSA,Real Estate
PSX,Energy
MON,Materials
MCHP,Information Technology
ETR,Utilities
COP,Energy
HES,Energy
DVN,Energy
KMB,Consumer Staples
DVA,Health Care
KMI,Energy
GWW,Industrials
FISV,Information Technology
COG,Energy
COF,Financials
COH,Consumer Discretionary
PEG,Utilities
ETN,Industrials
COL,Industrials
COO,Health Care
KMX,Consumer Discretionary
DLTR,Consumer Discretionary
ZBH,Health Care
AAL,Industrials
CI,Health Care
SRE,Utilities
CB,Financials
CA,Information Technology
CF,Materials
WAT,Health Care
ZTS,Health Care
CHRW,Industrials
TDC,Information Technology
TDG,Industrials
SBUX,Consumer Discretionary
PLD,Real Estate
CMCSA,Consumer Discretionary
MKC,Consumer Staples
MSI,Information Technology
CVX,Energy
AIZ,Financials
EIX,Utilities
AIV,Real Estate
CVS,Consumer Staples
RCL,Consumer Discretionary
LOW,Consumer Discretionary
CHD,Consumer Staples
AIG,Financials
DIS,Consumer Discretionary
PPG,Materials
MNST,Consumer Staples
NSC,Industrials
PPL,Utilities
NDAQ,Financials
GOOG,Information Technology
IP,Materials
HPQ,Information Technology
IR,Industrials
L,Financials
IRM,Real Estate
MTB,Financials
VZ,Telecommunications Services
JCI,Consumer Discretionary
MTD,Health Care
PWR,Industrials
CSCO,Information Technology
WDC,Information Technology
HBI,Consumer Discretionary
BA,Industrials
BK,Financials
DRI,Consumer Discretionary
CCL,Consumer Discretionary
CCI,Real Estate
TIF,Consumer Discretionary
ALLE,Industrials
FLIR,Industrials
MYL,Health Care
LYB,Materials
KHC,Consumer Staples
HSIC,Health Care
D,Utilities
NAVI,Financials
PEP,Consumer Staples
WMT,Consumer Staples
T,Telecommunications Services
WMB,Energy
VRSN,Information Technology
OI,Materials
VRSK,Industrials
CINF,Financials
NTRS,Financials
CXO,Energy
FLS,Industrials
FLR,Industrials
AFL,Financials
REGN,Health Care
HD,Consumer Discretionary
LKQ,Consumer Discretionary
LLY,Health Care
ROK,Industrials
DHI,Consumer Discretionary
NWS,Consumer Discretionary
DOV,Industrials
SCG,Utilities
AME,Industrials
AMG,Financials
MNK,Health Care
BCR,Health Care
LLL,Industrials
NWL,Consumer Discretionary
AMP,Financials
TMO,Health Care
AMT,Real Estate
LRCX,Information Technology
O,Real Estate
YHOO,Information Technology
PBI,Industrials
UPS,Industrials
TRV,Financials
AVY,Materials
ABBV,Health Care
MDLZ,Consumer Staples
UA,Consumer Discretionary
AVB,Real Estate
NEM,Materials
NEE,Utilities
ACN,Information Technology
NI,Utilities
TEL,Information Technology
RRC,Energy
FAST,Industrials
NBL,Energy
HP,Energy
LLTC,Information Technology
ADS,Information Technology
ADP,Information Technology
DNB,Industrials
GILD,Health Care
SJM,Consumer Staples
JPM,Financials
ADM,Consumer Staples
ADI,Information Technology
VIAB,Consumer Discretionary
LEG,Industrials
XEL,Utilities
LEN,Consumer Discretionary
EBAY,Information Technology
MET,Financials
USB,Financials
AZO,Consumer Discretionary
PDCO,Health Care
TWX,Consumer Discretionary
PCAR,Industrials
TXN,Information Technology
DAL,Industrials
CL,Consumer Staples
ORCL,Information Technology
TXT,Industrials
PXD,Energy
HOG,Consumer Discretionary
ESS,Real Estate
PKI,Health Care
CNP,Utilities
HON,Industrials
ICE,Financials
AN,Consumer Discretionary
CSRA,Information Technology
CNC,Health Care
TROW,Financials
ISRG,Health Care
PFE,Health Care
NKE,Consumer Discretionary
PFG,Financials
SPGI,Financials
